alu_customer_number,alu_customer_account_code,alu_customer_account_name,alu_financial_customer_group_code,alu_financial_customer_group_name,alu_legal_name,created_date,created_user,modified_date,modified_user,nokia_account_id,nokia_legal_account_name,x_mark,x_mark_err
301003525,,,,,Glecer D.O.O. Preduzece Za Izvodj,1519213588000000,,1519213588000000,,301003525,Glecer D.O.O. Preduzece Za Izvodj,true,
1000015919,CODZZZ5,INTERCO CONSO-COD,CZZZ5,INTERCO CONSO,ALCATEL LUCENT FRANCE CONGO BRANCH,1518266720000000,,1518266720000000,,301000002,Account ID for Internal Customers,,
1000032744,USAU724,TEPS OTHER-USA,CXP10,TEPS OTHER-USA,WIRELESS TECHNOLOGY EQUIPMENT CO INC,1518266720000000,,1518266720000000,,301009676,Wireless Technology Equipment Co Inc.,true,
301005450,,,,,ZAO PK Mostcom,1519213588000000,,1519213588000000,,301005450,ZAO PK Mostcom,true,
1000069008,BRAX393,HOTH-INDIRECT-BRA,CXQQE,HOTH-INDIRECT-BRA,VIDEOMAR REDE NORDESTE S/A,1524298866000000,CLOUDEDH,1524288074000000,CLOUDEDH,301037094,VIDEOMAR REDE NORDESTE S/A,true,
1000026686,USAQ427,REGIONALS-USA,CXPYK,REGIONALS-USA,TELECOM HOUSE INC,1518266720000000,,1518266720000000,,301000642,Telecom House Inc.,true,
1000038491,GUMV387,REGIONALS-GUM,CXQ33,REGIONALS-GUM,ICONNECT,1518266720000000,,1518266720000000,,301006504,iConnect,true,
A043,,,,,INDIA Market Dummy for buy items,1519213588000000,,1519213588000000,,A043,INDIA Market Dummy for buy items,true,
1000061497,USAV328,TEPS GOVERNMENT-USA,CXPCG,TEPS GOVERNMENT-USA,"CITY OF PIKEVILLE, KY",1518266720000000,,1518266720000000,,301033311,"City of Pikeville, Ky",true,
1000065049,IDN4071,"PT INDOSAT, TBK.",CXK0K,OOREDOO-IDN,PT IBM INDONESIA,1518266720000000,,1518266720000000,,301002253,PT IBM Indonesia,true,
1000012387,ARGW815,VM PUBLIC SECTOR-INDIRECT-ARG,CXQCV,VM PUBLIC SECTOR-INDIRECT-ARG,ADM. FEDERAL INGRESOS PUBLICOS,1518266720000000,,1518266720000000,,301007787,Admin. Federal de Ingresos Publicos,true,
1000065187,TUN0001,TUNISIE TELECOM,C4408,TUNISIE TELECOM-TUN,TOPNET,1518266720000000,,1518266720000000,,301002697,Tunisie Telecom,,
1000062970,ESPW570,OTHER TXLE ESP,CXQ8M,OTHER TECHNICAL XTRA LARGE ENTERPRISE-ESP,SILK APLICACIONES S.L.U,1518266720000000,,1518266720000000,,301034245,Silk Aplicaciones S.L.U,true,
1000025506,KORV220,TEPS PUB-KR,CXP9Y,TEPS GOVT-KOR,ELECTRONICS AND  TELECOMMUNICATIONS RESEARCH  INSTITUTE,1518266720000000,,1518266720000000,,301008201,Electronics and Telecommunications Resea,true,
301004911,,,,,"SpeedNet, LLC",1519213588000000,,1519213588000000,,301004911,"SpeedNet, LLC",true,
1000036632,ITA9999,OTHER CUSTOMERS IN ITALY,CITA9,OTHER CUSTOMERS IN ITALY,SARTEM APPALTI S P A,1519213588000000,,1519213588000000,,301001873,Deactivated fALU customers,,
1000013050,ARG0771,MAGNONE Y MAMMINI HERMANOS SH,C0536,ENTERPRISE INDIRECT ARG,MAGNONE Y MAMMINI HERMANOS SH,1519213588000000,,1519213588000000,,301001873,Deactivated fALU customers,,
1000024883,BRAZZZ5,INTERCO CONSO-BRA,CZZZ5,INTERCO CONSO,LT NS DO BRAZIL S.A.,1518266720000000,,1518266720000000,,301000002,Account ID for Internal Customers,,
1000024873,UKR9998,OTHER SERV. PROVIDERS-UKR,C0888,OTHER SERV. PROVIDERS-UKR,OOO KITERRACOM,1518266720000000,,1518266720000000,,301034188,Ooo Kiterracom,true,
301000376,,,,,Mobile 8,1519213588000000,,1519213588000000,,301000376,Mobile 8,true,
301010319,,,,,Zhejiang Telecom Co. Ltd (ON),1519213588000000,,1519213588000000,,301010319,Zhejiang Telecom Co. Ltd (ON),true,
1000054345,INDW152,SP-CABLE-IND,CXQ15,SP-CABLE-IND,PARAMETRIQUE ELECTRONIC SOLUTIONS PVT. LTD,1518266720000000,,1518266720000000,,301000203,Parametrique Electronic Solutions,true,
1000064386,BRA9998,OTHER SERV. PROVIDERS-BRA,CBRA8,OTHER SERV. PROVIDERS-BRA,NEXTEL TELECOMUNICACOES LTDA,1518266720000000,,1518266720000000,,301003097,Nextel Telecomunicaes Ltda,,
1000038165,URYA6CH,AMERICAMOVIL-URY,CXIZU,AMERICAMOVIL-URY,TELSTAR S.A.,1518266720000000,,1518266720000000,,301003070,AM Wireless Uruguay S.A. (Claro),,
1000018788,BRA0156,ESCOLA SUPERIOR DE GUERRA,CBRA7,ENTERPRISE-INDIRECT-BRA,ESCOLA SUPERIOR DE GUERRA,1518266720000000,,1518266720000000,,301007176,Escola Superior de Guerra,true,
1000039353,LKAA95A,BHARTI-LKA,CXHFO,BHARTI-LKA,BHARTI AIRTEL LANKA LTD,1518266720000000,,1518266720000000,,301006912,Bharti Airtel Lanka Pvt Ltd.,true,
1000068231,USAV328,TEPS GOVERNMENT-USA,CXPCG,TEPS GOVERNMENT-USA,WESTCHESTER COUNTY NY,1518266720000000,,1518266720000000,,301036571,Westchester County NY,true,
1000041688,AREA86W,HEWLETT PACKARD-ARE,CXG4G,HEWLETT PACKARD-ARE,HEWLETT PACKARD INTERNATIONAL SARL ABU DHABI BRANCH,1518266720000000,,1518266720000000,,301009893,Hp International Sarl Abu Dhabi Branch,true,
1000028914,ARGV116,VM PUB AR,CXP73,VM PUBLIC SECTOR ARG,RTM CONSULTORES DE RESP LIMITADA,1519213588000000,,1519213588000000,,301001873,Deactivated fALU customers,,
1000021565,IND0014,INDIAN TELEPHONE INDUSTRY,C6109,INDIAN TELEPHONE INDUSTRY (ITI)-IND,ITI LTD.,1518266720000000,,1518266720000000,,301035090,ITI BANGALORE,,
1000046375,AGO9998,OTHER SERV. PROVIDERS-AGO,C0730,OTHER SERV. PROVIDERS-AGO,FINSTAR - SOCIEDADE DE INVESTIMENTO,1518266720000000,,1518266720000000,,301034345,Finstar - Sociedade de Investimento,true,
1000062868,USAV328,TEPS GOVERNMENT-USA,CXPCG,TEPS GOVERNMENT-USA,ALAMEDA COUNTY,1518266720000000,,1518266720000000,,301033214,Alameda County,true,
1000003408,GBRZZZ5,INTERCO CONSO-GBR,CZZZ5,INTERCO CONSO,NOKIA UK LIMITED,1518266720000000,,1518266720000000,,301000002,Account ID for Internal Customers,,
1000012095,CHN9999,OTHER CUSTOMERS IN CHINA,CCHN9,OTHER CUSTOMERS IN CHINA,CHINA NETWORK COMMUNICATIONS GROUP CORPORATION,1518266720000000,,1518266720000000,,301000112,China Unicom Hainan Branch,,
301003611,,,,,Technotel Ltd. (Rostelecom),1519213588000000,,1519213588000000,,301003611,Technotel Ltd. (Rostelecom),true,
1000018620,BRA0005,OI FIXED-SP,C4112,OI-SP-BRA,OI S.A.,1518266720000000,,1518266720000000,,301001451,Brasil Telecom Cabos Submarinos Ltd,,
1000038031,ECUV091,ECUADOR VERTICAL MARKETS CUSTOMERS - PUB,CXP8Q,VM PUBLIC SECTOR-ECU,SUPERINTENDENCIA DE TELECOMUNICACIONES,1518266720000000,,1518266720000000,,301009434,Superintendencia de Telecom. - SIT,true,
1000058866,ITAU321,VM TRANSPORT-ITA,CXPFD,VM TRANSPORT-ITA,FINCANTIERI S.P.A,1518266720000000,,1518266720000000,,301034851,Fincantieri S.P.A,true,
1000018038,CHNW441,CHINA UNICOM-CN-INNERMONGOLIA,CXQUV,CHINA UNICOM-IMN-CHN,CHINA UNITED TELECOMMUNICATIONS CORPORATION LIMITED INNER MONGOLIA - TONGLIAO BRANCH,1518266720000000,,1518266720000000,,301000088,China Unicom Inner Mongolia Branch,,
1000065343,FRA9998,OTHER SERV. PROVIDERS-FRA,CFRA8,OTHER SERV. PROVIDERS-FRA,OCEINDE,1518266720000000,,1518266720000000,,301006531,Oceinde,true,
1000063668,INDX005,TEPS GOVT-INDIRECT-IND,CXQIB,TEPS GOVT-INDIRECT-IND,ITI LIMITED,1518266720000000,,1518266720000000,,301002211,Indian Telephone Industries Ltd,true,
1000018943,BRAV998,TXLE-BRA,CXPYC,TXLE-BRA,SUZANO PAPEL E CELULOSE S.A.,1518266720000000,,1518266720000000,,301006709,Suzano Papel e Celulose S.A.,,
1000015149,USAW027,TXLE EAST-USA,CXPYH,TXLE EAST-USA,BROWN BROTHERS HARRIMAN & CO,1518266720000000,,1518266720000000,,301001555,Brown Brothers Harriman & Co.,true,
1000024005,LBNA435,ORANGE-LBN,C0072,ORANGE-LBN,EQUANT S.A,1518266720000000,,1518266720000000,,301009984,Equant S.A,true,
1000061701,GBRW021,OTHER TECHNICAL XTRA LARGE ENTERPRISE-GBR,CXPZ5,OTHER TECHNICAL XTRA LARGE ENTERPRISE-GBR,DATACENTRED,1518266720000000,,1518266720000000,,301033986,Datacentred,true,
1000061965,PERX191,VM PUBLIC SECTOR-INDIRECT-PER,CXQN4,VM PUBLIC SECTOR-INDIRECT-PER,MINISTERIO DE SALUD DEL PERU,1518266720000000,,1518266720000000,,301033012,Minsa,,
1000048133,NLD9997,ENTERPRISE-NLD,C0658,ENTERPRISE-NLD,SELEXION GROUP BV,1518266720000000,,1518266720000000,,301031612,Selexion Group BV,true,
1000048075,CANV631,TEPS OIL & GAS-CAN,CXPS1,TEPS OIL & GAS-CAN,TECK RESOURCES LIMITED,1518266720000000,,1518266720000000,,301032858,Teck Resources Limit,true,
1000041461,THAW858,OTHER SERV. PROVIDERS-INDIRECT-THA,CXQFA,OTHER SERV. PROVIDERS-INDIRECT-THA,J.R.W UTILITY PCL.,1518266720000000,,1518266720000000,,301000458,"JRW Network Solutions Co., Ltd.",true,
1000034965,TWN9997,ENTERPRISE-TWN,C0708,ENTERPRISE-TWN,NATIONAL TSING HUA UNIVERSITY,1518266720000000,,1518266720000000,,301007696,National Tsing Hua University,true,
1000034316,USAU724,TEPS OTHER-USA,CXP10,TEPS OTHER-USA,VOLTDELTA RESOURCES LLC,1518266720000000,,1518266720000000,,301035006,Voltdelta Resources Llc,true,
1000059206,GBRV178,VM PUBLIC SECTOR-GBR,CXP8Y,VM PUBLIC SECTOR-GBR,DEPARTMENT FOR WORK & PENSIONS,1518266720000000,,1518266720000000,,301030533,Department For Work & Pensions,true,
1000064888,BGRV443,EMEA CHANNEL-BGR,CXPPV,EMEA CHANNEL-BGR,ITERATIO AD,1518266720000000,,1518266720000000,,301005620,Iteratio AD,true,
1000028009,NLD9999,OTHER CUSTOMERS IN NETHERLANDS,CNLD9,OTHER CUSTOMERS IN NETHERLANDS,MAINPORT PARK B V,1519213588000000,,1519213588000000,,301001873,Deactivated fALU customers,,
1000009754,USAW027,TXLE EAST-USA,CXPYH,TXLE EAST-USA,BRINGCOM INCORPORATED,1518266720000000,,1518266720000000,,301035845,CARES Contracts TXLE East,,
1000039423,RUS0144,TELE2 RUSSIA,C8615,TELE2-RUS,LLC PERSONAL COMMUNICATION SYSTEMS IN REGION,1518266720000000,,1518266720000000,,301003032,CJSC Tele2,,
1000052105,CHNW454,CHINA UNICOM-CN-SHAANXI,CXQV6,CHINA UNICOM-SHX-CHN,CHINA UNICOM SHAANXI COMPANY LIMITE D  XIANYANG BRANCH,1518266720000000,,1518266720000000,,301000102,China Unicom Shaanxi Branch,,
1000027576,DNKU858,IPS-ENE-DNK,CXP2W,VM UTILITIES-DNK,NRGI,1518266720000000,,1518266720000000,,301034605,NRGI,true,
1000011035,SRB0026,MINISTRY OF INTERNAL AFFAIRS OF THE REPUBLIC SERBIA,CXPBI,VM PUBLIC SECTOR-SRB,MINISTRY OF INTERNAL AFFAIRS OF THE REPUBLIC SERBIA,1518266720000000,,1518266720000000,,301003216,Ministry of Internal Affairs Serbia,true,
1000065002,AUTU230,VM TRANSPORT-AUT,CXPD9,VM TRANSPORT-AUT,OESTERR.BUNDESBAHNENZENTRALE RECHNUNGSSTELLE,1518266720000000,,1518266720000000,,301001794,BB Personenverkehr AG,,
1000066808,CHNA64E,CABLE & WIRELESS-CHN,CX0S0,CABLE & WIRELESS-CHN,"QINGDAO ZHIWEI TECHNOLOGIES CO., LT",1518266720000000,,1518266720000000,,301035177,"QINGDAO ZHIWEI TECHNOLOGIES CO., LT",true,
1000044450,USAQ427,REGIONALS-USA,CXPYK,REGIONALS-USA,GENESEO COMMUNICATIONS INC.,1518266720000000,,1518266720000000,,301004011,Geneseo Communications Inc.,true,
1000067514,KORX015,TEPS GOVT-INDIRECT-KOR,CXQIL,TEPS GOVT-INDIRECT-KOR,DAEWOO ENGINEERING& CONSTRUCTION,1518266720000000,,1518266720000000,,301035816,Daewoo Engineering& Construction,true,
1000031435,USAZZZ5,INTERCO CONSO-USA,CZZZ5,INTERCO CONSO,LUCENT TECHNOLOGIES REALTY INC,1518266720000000,,1518266720000000,,301000002,Account ID for Internal Customers,,
1000045082,URY9997,ENTERPRISE-URY,C0712,ENTERPRISE-INDIRECT-URY,AUTOMOTRIZ FRANCO URUGUAYA S.A.,1518266720000000,,1518266720000000,,301032392,Automotriz Franco,true,
1000067875,USAX464,TXLE WEST-USA,CXQS2,TXLE WEST-USA,GENENTECH INC,1518266720000000,,1518266720000000,,301036178,Genentech Inc,true,
1000033728,RUSV890,SI PUBLIC SECTOR RUS CHNSI,CXPBJ,VM PUBLIC SECTOR-RUS,FCC LEADER,1518266720000000,,1518266720000000,,301034016,Fcc Leader,true,
1000033702,CHNW455,CHINA UNICOM-CN-SHANXI,CXQV7,CHINA UNICOM-SX-CHN,CHINA UNITED NETCOM COMM. CORPORATION LTD. LVLIANG BRANCH,1518266720000000,,1518266720000000,,301000114,China Unicom Shanxi Branch,,
1000067419,TWNX753,TXLE IOT-TWN,CXR43,TXLE IOT-TWN,SERCOMM  CORPORATION,1518266720000000,,1518266720000000,,301003258,IOT Customers US,,
1000051909,CZEU855,IPS-ENE-CZ,CXP2T,VM UTILITIES-CZE,"TELCO PRO SERVICES, A.S.",1518266720000000,,1518266720000000,,301004780,"CEZ, a.s.",true,
1000014253,CHNW496,CHINA TELECOM-CN-QINGHAI,CXQU7,CHINA TELECOM-QH-CHN,CHINA TELECOM CORPORATION LIMITED QING HAI - XINING BRANCH,1518266720000000,,1518266720000000,,301000341,Qinghai Telecom Co. Ltd,,
1000051452,CHN0480,STATE GRID CHN,CXP2N,TEPS UTIL-CHN,"BEIJING BROADWIT TECHNOLOGY CO.,LTD",1518266720000000,,1518266720000000,,301007886,"Beijing Broadwit Technology Co.,Ltd",true,
1000061369,JPNX142,TXLE-JPN,CXQLW,TXLE-JPN,HASEKO CORPORATION,1518266720000000,,1518266720000000,,301033784,Haseko Corporation,true,
1000064387,BRA9998,OTHER SERV. PROVIDERS-BRA,CBRA8,OTHER SERV. PROVIDERS-BRA,NEXTEL TELECOMUNICACOES LTDA,1518266720000000,,1518266720000000,,301003097,Nextel Telecomunicaes Ltda,,
1000039970,USAQ427,REGIONALS-USA,CXPYK,REGIONALS-USA,WEST CAROLINA COMMUNICATIONS LLC,1518266720000000,,1518266720000000,,301004260,West Carolina Rural Telephone Coopertive,true,
1000064798,ESPU217,IPS-OTHER TRANSPORT-ES,CXPEK,VM TRANSPORT-ESP,ELIOP SEINALIA,1518266720000000,,1518266720000000,,301001175,ADIF,,
1000032448,ITA9999,OTHER CUSTOMERS IN ITALY,CITA9,OTHER CUSTOMERS IN ITALY,AXUS ITALIANA S R L,1519213588000000,,1519213588000000,,301001873,Deactivated fALU customers,,
1000025699,ROUA503,DEUTSCHE TELEKOM-ROU,C4093,DEUTSCHE TELEKOM-ROU,TELEMOBIL,1518266720000000,,1518266720000000,,301030461,Combridge SRL,,
1000068661,MYSXXX0,END CUSTOMERS HOTH IN MALAYSIA,CMY00,END CUSTOMERS HOTH IN MALAYSIA,UNITED MALAYAN LAND BHD,1522041250000000,,1522041250000000,,301034719,APJ End Customers,,
1000031997,THAW858,OTHER SERV. PROVIDERS-INDIRECT-THA,CXQFA,OTHER SERV. PROVIDERS-INDIRECT-THA,SAMART COMTECH COMPANY LIMITED,1518266720000000,,1518266720000000,,301003318,"Samart Comtech Co., Ltd.",true,
1000060807,MEXA988,AT&T-MEX,C4032,AT&T-SP-MEX,"AT&T DESARROLLO EN COMUNICACIONES DE MEXICO, S. DE R.L. DE C.V.",1518266720000000,,1518266720000000,,301003125,AT&T Comunicaciones Digitales,,
1000052360,INDU316,TEPS TRAN-IN,CXPCW,TEPS TRAN-IND,MUMBAI METRO RAIL CORPORATION,1518266720000000,,1518266720000000,,301002081,Mumbai Metro Rail Corp.,,
1000020143,BRAV998,TXLE-BRA,CXPYC,TXLE-BRA,VOTORANTIM PARTICIPACOES S/A,1518266720000000,,1518266720000000,,301007501,Votorantim Participacoes S/A,true,
1000067766,CHNW563,TEPS PUB-CN-SOUTH,CXP8D,TEPS PUBLIC SECTOR-CHN,"SHANGHAI GLINENET NETWORK TECH,LTD.",1518266720000000,,1518266720000000,,301036082,"Shanghai Glinenet network Tech,Ltd.",true,
1000067743,GBRW021,OTHER TECHNICAL XTRA LARGE ENTERPRISE-GBR,CXPZ5,OTHER TECHNICAL XTRA LARGE ENTERPRISE-GBR,LONDON METAL EXCHANGE,1518266720000000,,1518266720000000,,301036058,London Metal Exchange,true,
301004832,,,,,IRIS Telekom FLLC (na),1519213588000000,,1519213588000000,,301004832,IRIS Telekom FLLC (na),true,
1000013299,ARG1044,SANTISTA TEXTIL ARGENTINA S.A.,C0536,ENTERPRISE-INDIRECT-ARG,TAVEX ARGENTINA S.A.,1518266720000000,,1518266720000000,,301007460,Tavex Argentina S.A.,true,
1000015812,GBR0191,HEWLETT PACKARD-GBR,C0307,HEWLETT PACKARD-GBR,HEWLETT PACKARD LIMITED,1518266720000000,,1518266720000000,,301030823,Hewlett Packard Limited,true,
